name,api_url
Binance,https://api.binance.com
Coinbase,https://api.coinbase.com
Kraken,https://api.kraken.com
KuCoin,https://api.kucoin.com
Bitfinex,https://api.bitfinex.com
Bittrex,https://api.bittrex.com
Huobi,https://api.huobi.pro
OKX,https://www.okx.com/api
Bitstamp,https://www.bitstamp.net/api
Gemini,https://api.gemini.com
Poloniex,https://poloniex.com/public
BitFlyer,https://api.bitflyer.com
Gate.io,https://api.gateio.ws
Bybit,https://api.bybit.com
Coincheck,https://coincheck.com/api
LBank,https://api.lbkex.com
Bitget,https://api.bitget.com
Phemex,https://api.phemex.com
BitMart,https://api-cloud.bitmart.com
Upbit,https://api.upbit.com
Bithumb,https://api.bithumb.com
Coinone,https://api.coinone.co.kr
Liquid,https://api.liquid.com
ZB.com,https://api.zb.com
HitBTC,https://api.hitbtc.com
WazirX,https://api.wazirx.com
ProBit,https://api.probit.com
CoinEx,https://api.coinex.com
Indodax,https://indodax.com/api
EXMO,https://api.exmo.com
